Printing Modifier Definitions:
Tag: diplomacy, Categories: character
Tag: levy_reinforcement_rate_even_if_baron, Categories: character
Tag: levy_reinforcement_rate_same_faith_even_if_baron, Categories: character
Tag: levy_reinforcement_rate_different_faith_even_if_baron, Categories: character
Tag: levy_reinforcement_rate_friendly_territory, Categories: holding
Tag: build_speed, Categories: holding
Tag: build_gold_cost, Categories: holding
Tag: build_piety_cost, Categories: holding
Tag: build_prestige_cost, Categories: holding
Tag: holding_build_speed, Categories: holding
Tag: holding_build_gold_cost, Categories: holding
Tag: holding_build_piety_cost, Categories: holding
Tag: holding_build_prestige_cost, Categories: holding
Tag: tax_mult, Categories: holding
Tag: defender_holding_advantage, Categories: holding
Tag: development_growth_factor, Categories: county
Tag: development_growth, Categories: county
Tag: character_capital_county_monthly_development_growth_add, Categories: character
Tag: monthly_county_control_change_add, Categories: county
Tag: monthly_county_control_change_factor, Categories: county
Tag: monthly_county_control_change_add_even_if_baron, Categories: county
Tag: monthly_county_control_change_factor_even_if_baron, Categories: county
Tag: county_opinion_add, Categories: county
Tag: different_faith_county_opinion_mult, Categories: county
Tag: county_opinion_add_even_if_baron, Categories: county
Tag: different_faith_county_opinion_mult_even_if_baron, Categories: county
Tag: mercenary_count_mult, Categories: culture
Tag: cultural_head_fascination_add, Categories: character
Tag: cultural_head_fascination_mult, Categories: character
Tag: faith_conversion_piety_cost_add, Categories: character
Tag: faith_conversion_piety_cost_mult, Categories: character
Tag: faith_creation_piety_cost_add, Categories: character
Tag: faith_creation_piety_cost_mult, Categories: character
Tag: ai_boldness, Categories: ai
Tag: ai_compassion, Categories: ai
Tag: ai_sociability, Categories: ai
Tag: ai_greed, Categories: ai
Tag: ai_energy, Categories: ai
Tag: ai_honor, Categories: ai
Tag: ai_rationality, Categories: ai
Tag: ai_vengefulness, Categories: ai
Tag: ai_zeal, Categories: ai
Tag: ai_war_chance, Categories: ai
Tag: ai_war_cooldown, Categories: ai
Tag: castle_holding_build_speed, Categories: county
Tag: castle_holding_build_gold_cost, Categories: county
Tag: castle_holding_build_piety_cost, Categories: county
Tag: castle_holding_build_prestige_cost, Categories: county
Tag: castle_holding_holding_build_speed, Categories: county
Tag: castle_holding_holding_build_gold_cost, Categories: county
Tag: castle_holding_holding_build_piety_cost, Categories: county
Tag: castle_holding_holding_build_prestige_cost, Categories: county
Tag: tribal_holding_build_speed, Categories: county
Tag: tribal_holding_build_gold_cost, Categories: county
Tag: tribal_holding_build_piety_cost, Categories: county
Tag: tribal_holding_build_prestige_cost, Categories: county
Tag: tribal_holding_holding_build_speed, Categories: county
Tag: tribal_holding_holding_build_gold_cost, Categories: county
Tag: tribal_holding_holding_build_piety_cost, Categories: county
Tag: tribal_holding_holding_build_prestige_cost, Categories: county
Tag: city_holding_build_speed, Categories: county
Tag: city_holding_build_gold_cost, Categories: county
Tag: city_holding_build_piety_cost, Categories: county
Tag: city_holding_build_prestige_cost, Categories: county
Tag: city_holding_holding_build_speed, Categories: county
Tag: city_holding_holding_build_gold_cost, Categories: county
Tag: city_holding_holding_build_piety_cost, Categories: county
Tag: city_holding_holding_build_prestige_cost, Categories: county
Tag: church_holding_build_speed, Categories: county
Tag: church_holding_build_gold_cost, Categories: county
Tag: church_holding_build_piety_cost, Categories: county
Tag: church_holding_build_prestige_cost, Categories: county
Tag: church_holding_holding_build_speed, Categories: county
Tag: church_holding_holding_build_gold_cost, Categories: county
Tag: church_holding_holding_build_piety_cost, Categories: county
Tag: church_holding_holding_build_prestige_cost, Categories: county
Tag: akan_opinion, Categories: character
Tag: kru_opinion, Categories: character
Tag: guan_opinion, Categories: character
Tag: bedouin_opinion, Categories: character
Tag: levantine_opinion, Categories: character
Tag: egyptian_opinion, Categories: character
Tag: maghrebi_opinion, Categories: character
Tag: andalusian_opinion, Categories: character
Tag: yemeni_opinion, Categories: character
Tag: latgalian_opinion, Categories: character
Tag: lithuanian_opinion, Categories: character
Tag: prussian_opinion, Categories: character
Tag: finnish_opinion, Categories: character
Tag: sami_opinion, Categories: character
Tag: estonian_opinion, Categories: character
Tag: karelian_opinion, Categories: character
Tag: vepsian_opinion, Categories: character
Tag: butr_opinion, Categories: character
Tag: baranis_opinion, Categories: character
Tag: zaghawa_opinion, Categories: character
Tag: pictish_opinion, Categories: character
Tag: welsh_opinion, Categories: character
Tag: breton_opinion, Categories: character
Tag: cornish_opinion, Categories: character
Tag: cumbrian_opinion, Categories: character
Tag: burmese_opinion, Categories: character
Tag: mon_opinion, Categories: character
Tag: armenian_opinion, Categories: character
Tag: greek_opinion, Categories: character
Tag: alan_opinion, Categories: character
Tag: georgian_opinion, Categories: character
Tag: assyrian_opinion, Categories: character
Tag: kanuri_opinion, Categories: character
Tag: hausa_opinion, Categories: character
Tag: sao_opinion, Categories: character
Tag: nupe_opinion, Categories: character
Tag: saxon_opinion, Categories: character
Tag: franconian_opinion, Categories: character
Tag: swabian_opinion, Categories: character
Tag: bavarian_opinion, Categories: character
Tag: frisian_opinion, Categories: character
Tag: dutch_opinion, Categories: character
Tag: german_opinion, Categories: character
Tag: han_opinion, Categories: character
Tag: tamil_opinion, Categories: character
Tag: telugu_opinion, Categories: character
Tag: kannada_opinion, Categories: character
Tag: ethiopian_opinion, Categories: character
Tag: nubian_opinion, Categories: character
Tag: welayta_opinion, Categories: character
Tag: daju_opinion, Categories: character
Tag: russian_opinion, Categories: character
Tag: ilmenian_opinion, Categories: character
Tag: severian_opinion, Categories: character
Tag: volhynian_opinion, Categories: character
Tag: frankish_opinion, Categories: character
Tag: french_opinion, Categories: character
Tag: norman_opinion, Categories: character
Tag: occitan_opinion, Categories: character
Tag: outremer_opinion, Categories: character
Tag: irish_opinion, Categories: character
Tag: gaelic_opinion, Categories: character
Tag: basque_opinion, Categories: character
Tag: castilian_opinion, Categories: character
Tag: catalan_opinion, Categories: character
Tag: portuguese_opinion, Categories: character
Tag: visigothic_opinion, Categories: character
Tag: galician_opinion, Categories: character
Tag: asturleonese_opinion, Categories: character
Tag: aragonese_opinion, Categories: character
Tag: suebi_opinion, Categories: character
Tag: bengali_opinion, Categories: character
Tag: oriya_opinion, Categories: character
Tag: assamese_opinion, Categories: character
Tag: hindustani_opinion, Categories: character
Tag: gujarati_opinion, Categories: character
Tag: punjabi_opinion, Categories: character
Tag: rajput_opinion, Categories: character
Tag: sindhi_opinion, Categories: character
Tag: marathi_opinion, Categories: character
Tag: kashmiri_opinion, Categories: character
Tag: sinhala_opinion, Categories: character
Tag: nepali_opinion, Categories: character
Tag: persian_opinion, Categories: character
Tag: sogdian_opinion, Categories: character
Tag: tocharian_opinion, Categories: character
Tag: kurdish_opinion, Categories: character
Tag: afghan_opinion, Categories: character
Tag: baloch_opinion, Categories: character
Tag: saka_opinion, Categories: character
Tag: daylamite_opinion, Categories: character
Tag: khwarezmian_opinion, Categories: character
Tag: tajik_opinion, Categories: character
Tag: ashkenazi_opinion, Categories: character
Tag: sephardi_opinion, Categories: character
Tag: italian_opinion, Categories: character
Tag: roman_opinion, Categories: character
Tag: cisalpine_opinion, Categories: character
Tag: sardinian_opinion, Categories: character
Tag: sicilian_opinion, Categories: character
Tag: lombard_opinion, Categories: character
Tag: mogyer_opinion, Categories: character
Tag: hungarian_opinion, Categories: character
Tag: mongol_opinion, Categories: character
Tag: buryat_opinion, Categories: character
Tag: oirat_opinion, Categories: character
Tag: naiman_opinion, Categories: character
Tag: kerait_opinion, Categories: character
Tag: khitan_opinion, Categories: character
Tag: tuyuhun_opinion, Categories: character
Tag: jurchen_opinion, Categories: character
Tag: norse_opinion, Categories: character
Tag: swedish_opinion, Categories: character
Tag: norwegian_opinion, Categories: character
Tag: danish_opinion, Categories: character
Tag: tangut_opinion, Categories: character
Tag: qiang_opinion, Categories: character
Tag: soninke_opinion, Categories: character
Tag: bozo_opinion, Categories: character
Tag: mossi_opinion, Categories: character
Tag: sorko_opinion, Categories: character
Tag: gaw_opinion, Categories: character
Tag: songhai_opinion, Categories: character
Tag: pulaar_opinion, Categories: character
Tag: serer_opinion, Categories: character
Tag: wolof_opinion, Categories: character
Tag: somali_opinion, Categories: character
Tag: beja_opinion, Categories: character
Tag: afar_opinion, Categories: character
Tag: croatian_opinion, Categories: character
Tag: bosnian_opinion, Categories: character
Tag: serbian_opinion, Categories: character
Tag: vlach_opinion, Categories: character
Tag: bulgarian_opinion, Categories: character
Tag: bodpa_opinion, Categories: character
Tag: zhangzhung_opinion, Categories: character
Tag: sumpa_opinion, Categories: character
Tag: tsangpa_opinion, Categories: character
Tag: kirati_opinion, Categories: character
Tag: lhomon_opinion, Categories: character
Tag: turkish_opinion, Categories: character
Tag: pecheneg_opinion, Categories: character
Tag: cuman_opinion, Categories: character
Tag: khazar_opinion, Categories: character
Tag: bolghar_opinion, Categories: character
Tag: bashkir_opinion, Categories: character
Tag: avar_opinion, Categories: character
Tag: karluk_opinion, Categories: character
Tag: kimek_opinion, Categories: character
Tag: kipchak_opinion, Categories: character
Tag: laktan_opinion, Categories: character
Tag: kirghiz_opinion, Categories: character
Tag: uyghur_opinion, Categories: character
Tag: yughur_opinion, Categories: character
Tag: uriankhai_opinion, Categories: character
Tag: chuvash_opinion, Categories: character
Tag: shatuo_opinion, Categories: character
Tag: ongud_opinion, Categories: character
Tag: komi_opinion, Categories: character
Tag: khanty_opinion, Categories: character
Tag: samoyed_opinion, Categories: character
Tag: mordvin_opinion, Categories: character
Tag: merya_opinion, Categories: character
Tag: meshchera_opinion, Categories: character
Tag: mari_opinion, Categories: character
Tag: muroma_opinion, Categories: character
Tag: malinke_opinion, Categories: character
Tag: bobo_opinion, Categories: character
Tag: gur_opinion, Categories: character
Tag: marka_opinion, Categories: character
Tag: mel_opinion, Categories: character
Tag: english_opinion, Categories: character
Tag: anglo_saxon_opinion, Categories: character
Tag: old_saxon_opinion, Categories: character
Tag: scottish_opinion, Categories: character
Tag: pommeranian_opinion, Categories: character
Tag: czech_opinion, Categories: character
Tag: polish_opinion, Categories: character
Tag: polabian_opinion, Categories: character
Tag: slovien_opinion, Categories: character
Tag: yoruba_opinion, Categories: character
Tag: edo_opinion, Categories: character
Tag: igbo_opinion, Categories: character
Tag: ewe_opinion, Categories: character
Tag: feudal_government_opinion, Categories: character
Tag: feudal_government_vassal_opinion, Categories: character
Tag: feudal_government_opinion_same_faith, Categories: character
Tag: feudal_government_tax_contribution_add, Categories: character
Tag: feudal_government_tax_contribution_mult, Categories: character
Tag: feudal_government_levy_contribution_add, Categories: character
Tag: feudal_government_levy_contribution_mult, Categories: character
Tag: republic_government_opinion, Categories: character
Tag: republic_government_vassal_opinion, Categories: character
Tag: republic_government_opinion_same_faith, Categories: character
Tag: republic_government_tax_contribution_add, Categories: character
Tag: republic_government_tax_contribution_mult, Categories: character
Tag: republic_government_levy_contribution_add, Categories: character
Tag: republic_government_levy_contribution_mult, Categories: character
Tag: theocracy_government_opinion, Categories: character
Tag: theocracy_government_vassal_opinion, Categories: character
Tag: theocracy_government_opinion_same_faith, Categories: character
Tag: theocracy_government_tax_contribution_add, Categories: character
Tag: theocracy_government_tax_contribution_mult, Categories: character
Tag: theocracy_government_levy_contribution_add, Categories: character
Tag: theocracy_government_levy_contribution_mult, Categories: character
Tag: clan_government_opinion, Categories: character
Tag: clan_government_vassal_opinion, Categories: character
Tag: clan_government_opinion_same_faith, Categories: character
Tag: clan_government_tax_contribution_add, Categories: character
Tag: clan_government_tax_contribution_mult, Categories: character
Tag: clan_government_levy_contribution_add, Categories: character
Tag: clan_government_levy_contribution_mult, Categories: character
Tag: tribal_government_opinion, Categories: character
Tag: tribal_government_vassal_opinion, Categories: character
Tag: tribal_government_opinion_same_faith, Categories: character
Tag: tribal_government_tax_contribution_add, Categories: character
Tag: tribal_government_tax_contribution_mult, Categories: character
Tag: tribal_government_levy_contribution_add, Categories: character
Tag: tribal_government_levy_contribution_mult, Categories: character
Tag: mercenary_government_opinion, Categories: character
Tag: mercenary_government_vassal_opinion, Categories: character
Tag: mercenary_government_opinion_same_faith, Categories: character
Tag: mercenary_government_tax_contribution_add, Categories: character
Tag: mercenary_government_tax_contribution_mult, Categories: character
Tag: mercenary_government_levy_contribution_add, Categories: character
Tag: mercenary_government_levy_contribution_mult, Categories: character
Tag: holy_order_government_opinion, Categories: character
Tag: holy_order_government_vassal_opinion, Categories: character
Tag: holy_order_government_opinion_same_faith, Categories: character
Tag: holy_order_government_tax_contribution_add, Categories: character
Tag: holy_order_government_tax_contribution_mult, Categories: character
Tag: holy_order_government_levy_contribution_add, Categories: character
Tag: holy_order_government_levy_contribution_mult, Categories: character
Tag: max_abduct_schemes_add, Categories: character
Tag: abduct_scheme_power_add, Categories: character
Tag: abduct_scheme_power_mult, Categories: character
Tag: abduct_scheme_resistance_add, Categories: character
Tag: abduct_scheme_resistance_mult, Categories: character
Tag: max_befriend_schemes_add, Categories: character
Tag: befriend_scheme_power_add, Categories: character
Tag: befriend_scheme_power_mult, Categories: character
Tag: befriend_scheme_resistance_add, Categories: character
Tag: befriend_scheme_resistance_mult, Categories: character
Tag: max_claim_throne_schemes_add, Categories: character
Tag: claim_throne_scheme_power_add, Categories: character
Tag: claim_throne_scheme_power_mult, Categories: character
Tag: claim_throne_scheme_resistance_add, Categories: character
Tag: claim_throne_scheme_resistance_mult, Categories: character
Tag: max_convert_to_witchcraft_schemes_add, Categories: character
Tag: convert_to_witchcraft_scheme_power_add, Categories: character
Tag: convert_to_witchcraft_scheme_power_mult, Categories: character
Tag: convert_to_witchcraft_scheme_resistance_add, Categories: character
Tag: convert_to_witchcraft_scheme_resistance_mult, Categories: character
Tag: max_courting_schemes_add, Categories: character
Tag: courting_scheme_power_add, Categories: character
Tag: courting_scheme_power_mult, Categories: character
Tag: courting_scheme_resistance_add, Categories: character
Tag: courting_scheme_resistance_mult, Categories: character
Tag: max_elope_schemes_add, Categories: character
Tag: elope_scheme_power_add, Categories: character
Tag: elope_scheme_power_mult, Categories: character
Tag: elope_scheme_resistance_add, Categories: character
Tag: elope_scheme_resistance_mult, Categories: character
Tag: max_fabricate_hook_schemes_add, Categories: character
Tag: fabricate_hook_scheme_power_add, Categories: character
Tag: fabricate_hook_scheme_power_mult, Categories: character
Tag: fabricate_hook_scheme_resistance_add, Categories: character
Tag: fabricate_hook_scheme_resistance_mult, Categories: character
Tag: max_murder_schemes_add, Categories: character
Tag: murder_scheme_power_add, Categories: character
Tag: murder_scheme_power_mult, Categories: character
Tag: murder_scheme_resistance_add, Categories: character
Tag: murder_scheme_resistance_mult, Categories: character
Tag: max_seduce_schemes_add, Categories: character
Tag: seduce_scheme_power_add, Categories: character
Tag: seduce_scheme_power_mult, Categories: character
Tag: seduce_scheme_resistance_add, Categories: character
Tag: seduce_scheme_resistance_mult, Categories: character
Tag: max_sway_schemes_add, Categories: character
Tag: sway_scheme_power_add, Categories: character
Tag: sway_scheme_power_mult, Categories: character
Tag: sway_scheme_resistance_add, Categories: character
Tag: sway_scheme_resistance_mult, Categories: character
Tag: monthly_diplomacy_lifestyle_xp_gain_mult, Categories: character
Tag: monthly_martial_lifestyle_xp_gain_mult, Categories: character
Tag: monthly_stewardship_lifestyle_xp_gain_mult, Categories: character
Tag: monthly_intrigue_lifestyle_xp_gain_mult, Categories: character
Tag: monthly_learning_lifestyle_xp_gain_mult, Categories: character
Tag: plains_attrition_mult, Categories: combat
Tag: plains_cancel_negative_supply, Categories: combat
Tag: plains_advantage, Categories: combat
Tag: plains_min_combat_roll, Categories: combat
Tag: plains_max_combat_roll, Categories: combat
Tag: farmlands_attrition_mult, Categories: combat
Tag: farmlands_cancel_negative_supply, Categories: combat
Tag: farmlands_advantage, Categories: combat
Tag: farmlands_min_combat_roll, Categories: combat
Tag: farmlands_max_combat_roll, Categories: combat
Tag: hills_attrition_mult, Categories: combat
Tag: hills_cancel_negative_supply, Categories: combat
Tag: hills_advantage, Categories: combat
Tag: hills_min_combat_roll, Categories: combat
Tag: hills_max_combat_roll, Categories: combat
Tag: mountains_attrition_mult, Categories: combat
Tag: mountains_cancel_negative_supply, Categories: combat
Tag: mountains_advantage, Categories: combat
Tag: mountains_min_combat_roll, Categories: combat
Tag: mountains_max_combat_roll, Categories: combat
Tag: desert_attrition_mult, Categories: combat
Tag: desert_cancel_negative_supply, Categories: combat
Tag: desert_advantage, Categories: combat
Tag: desert_min_combat_roll, Categories: combat
Tag: desert_max_combat_roll, Categories: combat
Tag: desert_mountains_attrition_mult, Categories: combat
Tag: desert_mountains_cancel_negative_supply, Categories: combat
Tag: desert_mountains_advantage, Categories: combat
Tag: desert_mountains_min_combat_roll, Categories: combat
Tag: desert_mountains_max_combat_roll, Categories: combat
Tag: oasis_attrition_mult, Categories: combat
Tag: oasis_cancel_negative_supply, Categories: combat
